user,timestamp,activity,x-axis,y-axis,z-axis
Enter ID Here,1.75425E+12,Brushing teeth,-9.036021,-0.15810642,3.969429
Enter ID Here,1.75425E+12,Brushing teeth,-11.878343,-7.010582,3.045944
Enter ID Here,1.75425E+12,Brushing teeth,-4.9671764,9.168974,6.411694
Enter ID Here,1.75425E+12,Brushing teeth,-9.106689,-1.3702556,4.5922723
Enter ID Here,1.75425E+12,Brushing teeth,-5.4834175,8.758137,3.8125205
Enter ID Here,1.75425E+12,Brushing teeth,-5.384002,9.21928,6.512307
Enter ID Here,1.75425E+12,Brushing teeth,-9.882849,-3.681963,2.953715
Enter ID Here,1.75425E+12,Brushing teeth,-10.965638,-7.6226454,2.5332959
Enter ID Here,1.75425E+12,Brushing teeth,-9.1258545,1.2564669,3.5549986
Enter ID Here,1.75425E+12,Brushing teeth,-0.2862684,5.410353,8.935408
Enter ID Here,1.75425E+12,Brushing teeth,-5.790048,9.208501,4.952803
Enter ID Here,1.75425E+12,Brushing teeth,-1.6361618,4.0568666,8.917441
Enter ID Here,1.75425E+12,Brushing teeth,-6.6955667,6.844091,5.3971777
Enter ID Here,1.75425E+12,Brushing teeth,-5.7433352,2.7441044,7.9747915
Enter ID Here,1.75425E+12,Brushing teeth,-3.7789826,2.4889781,7.801114
Enter ID Here,1.75425E+12,Brushing teeth,-5.610382,3.9730225,5.545702
Enter ID Here,1.75425E+12,Brushing teeth,-9.3809805,-0.8324542,5.716984
Enter ID Here,1.75425E+12,Brushing teeth,-9.178556,-1.2540712,5.016285
Enter ID Here,1.75425E+12,Brushing teeth,-7.3172126,-0.8695853,4.9001007
Enter ID Here,1.75425E+12,Brushing teeth,-5.0306582,8.8839035,5.0258675
Enter ID Here,1.75425E+12,Brushing teeth,-7.035735,1.4708687,6.3338385
Enter ID Here,1.75425E+12,Brushing teeth,-11.259092,-7.1339526,3.6627984
Enter ID Here,1.75425E+12,Brushing teeth,-6.347014,8.695852,4.315586
Enter ID Here,1.75425E+12,Brushing teeth,-7.3495526,-0.23356628,4.8078723
Enter ID Here,1.75425E+12,Brushing teeth,-8.395211,-1.9895056,4.413804
Enter ID Here,1.75425E+12,Brushing teeth,-8.71861,-0.8276631,3.9299026
Enter ID Here,1.75425E+12,Brushing teeth,-6.539856,0.97858286,6.266763
Enter ID Here,1.75425E+12,Brushing teeth,-6.3577943,0.09462429,7.1722817
Enter ID Here,1.75425E+12,Brushing teeth,-11.2578945,-7.742423,3.8568382
Enter ID Here,1.75425E+12,Brushing teeth,-5.760104,12.187369,4.92765
